images resource
cola.png https://pin.it/7tI0tlPXO
pepsi.png https://pin.it/4j5xlpctW
factory.png https://onedrive.live.com/?authkey=%21AAQumsDDwZBIW3w&id=C58A258D760E1B58%2146879&cid=C58A258D760E1B58
hen_house.png https://onedrive.live.com/?authkey=%21AAQumsDDwZBIW3w&id=C58A258D760E1B58%2146879&cid=C58A258D760E1B58
lab.png https://tse4.mm.bing.net/th?id=OIP.qrYFwB_kHZTNOPzAssDJ5gHaFo&pid=Api&P=0&h=180
nuclear.png https://media.sketchfab.com/models/35996eca87fc4f8494ee999679db5c2f/thumbnails/a40970c8ab924c5fb1ad39f3e30558b4/9e443d4cc041410ea5beda79f59dbf81.jpeg
bank.png https://icon-icons.com/icon/bank/20731
farm.png https://www.alamy.com/shovel-digging-the-soil-illustration-image232536596.html
mine.png https://rimworldzh.huijiwiki.com/wiki/Mod/AngleWyrm/Mines
shipment.png https://www.johnkoexpress.com/
temple.png https://mavink.com/post/47E55758C890D88D7347A1E89132824858AMF71C3F/ayodhya-ram-mandir-drawing
